First_pokemon,Second_pokemon,outcome,type_interaction,calc_speed,calc_atk,calc_def,calc_spatk,calc_spdef
286,4,1,0.0,10,10,53,62,60
299,4,1,0.75,0,75,63,100,60
302,4,0,0.0,-5,70,93,67,90
309,4,1,-1.75,20,-95,61,-130,38
339,4,0,0.5,-25,63,63,70,60
347,4,1,-0.75,25,-48,40,-43,37
350,4,0,1.5,-25,130,53,189,55
352,4,1,1.5,20,155,78,199,75
363,4,1,0.75,45,79,83,101,80
399,4,1,1.0,55,160,73,189,70
399,4,1,1.0,55,160,73,189,70
412,4,1,-2.0,30,-150,23,-110,40
429,4,0,-1.0,-70,-200,73,-178,70
452,4,1,0.0,25,18,88,18,50
461,4,0,-1.0,44,-69,28,-69,25
463,4,1,-1.75,10,-35,81,-30,78
472,4,0,0.0,-35,0,57,62,54
472,4,0,0.0,-35,0,57,62,54
475,4,0,0.0,-5,34,79,78,64
498,4,0,-0.5,-10,-55,53,-57,50
526,4,0,0.0,-10,20,53,-13,45
529,4,0,-1.0,40,-55,-22,-75,-30
539,4,1,-1.0,0,-110,18,-88,15
540,4,0,-1.0,-35,-150,53,-128,50
547,4,0,-1.0,-5,-40,3,-28,-10
552,4,0,0.0,-47,-1,48,1,45
557,4,0,0.75,-33,82,28,104,25
559,4,1,-0.5,25,-43,68,-9,65
560,4,1,-0.5,15,-73,58,-39,55
565,4,1,0.0,3,15,54,62,51
592,4,1,1.5,30,170,-3,204,-6
601,4,1,0.25,38,37,53,51,60
606,4,0,-0.875,-32,-88,34,-40,51
636,4,1,-1.0,35,40,73,12,55
640,4,1,-1.0,50,20,73,-128,60
647,4,1,0.75,5,85,73,112,70
654,4,1,0.5,40,80,73,90,35
682,4,0,0.5,-25,38,63,75,60
708,4,0,0.0,-10,-25,3,1,20
711,4,0,-1.5,-15,-210,33,-199,30
719,4,1,0.75,42,85,58,110,75
727,4,0,1.5,-42,153,56,193,49
751,4,1,-1.0,20,-150,73,-150,70
766,4,0,0.5,-29,73,71,68,26
780,4,1,0.25,24,23,47,45,38
799,4,1,-1.0,0,-220,63,-218,-10
2,5,1,1.5,5,73,-20,80,-30
8,5,0,-0.25,-35,-52,-68,-50,-35
25,5,0,0.0,-7,-4,8,35,15
44,5,0,0.0,-35,-12,-32,-10,-50
64,5,1,0.0,5,-9,-2,-5,0
108,5,0,-1.5,-10,-234,-72,-70,0
115,5,0,0.0,-22,-68,-10,25,-60
119,5,1,0.0,5,-38,-77,-25,-20
191,5,1,0.5,25,32,-42,20,-55
212,5,0,0.0,-45,-13,-17,-70,-45
213,5,1,0.0,0,-13,-67,0,-80
263,5,0,0.0,-50,-33,-32,-55,-50
264,5,0,0.0,-35,-31,-42,-15,-25
269,5,0,-1.5,-6,-302,-107,-160,-70
270,5,0,0.0,-45,-38,-87,-30,-104
278,5,1,0.0,10,-16,-17,-12,-10
301,5,0,0.0,-60,-33,-17,10,0
304,5,1,0.5,25,40,18,38,15
309,5,1,1.5,5,74,-19,80,-32
330,5,1,1.75,15,78,-82,107,-45
340,5,0,0.0,-70,-23,-37,-75,-30
354,5,1,-0.5,25,-74,-27,-75,-25
357,5,1,0.0,5,27,8,-10,-30
363,5,1,1.5,30,62,3,78,10
385,5,1,0.0,25,-38,-27,0,-70
386,5,1,0.0,20,-23,8,-3,17
406,5,0,-1.5,-32,-34,-12,-50,-15
415,5,1,-1.5,15,-174,-157,-70,-50
424,5,0,-1.0,-25,-248,-97,-140,-40
437,5,0,0.0,-16,-13,-9,-9,-2
445,5,1,0.0,34,7,3,25,10
446,5,0,-1.5,-6,-144,-17,-80,-10
447,5,1,1.5,40,92,2,108,9
470,5,1,-1.5,31,-70,-5,-84,-12
470,5,1,-1.5,31,-70,-5,-84,-12
498,5,0,1.5,-25,49,-27,63,-20
527,5,0,0.0,-15,-73,-22,-5,-65
538,5,0,0.0,-30,-23,-87,-15,-80
571,5,1,1.5,1,78,-5,94,2
575,5,1,-1.5,1,-80,-5,-76,2
586,5,0,-1.5,40,-244,-87,-90,-30
597,5,0,-3.5,-4,-234,-12,-230,-5
604,5,1,1.5,8,82,-16,105,11
607,5,0,1.75,-1,98,-17,111,0
610,5,0,1.5,-25,74,-32,65,-25
613,5,0,-1.0,-9,-112,-2,-30,5
623,5,0,0.0,-32,-6,-37,-43,-30
644,5,1,1.5,21,79,-7,88,-10
653,5,1,1.5,35,62,-27,78,-30
662,5,1,1.5,15,64,-52,85,-35
674,5,0,-0.5,-32,-121,-47,-30,-20
679,5,0,1.5,-80,69,3,70,-10
693,5,1,0.0,0,-22,-23,-22,-16
710,5,0,-1.0,-26,-238,-47,-150,-30
721,5,1,1.5,1,51,-79,83,-25
754,5,1,0.5,36,16,-29,11,-39
757,5,1,0.0,20,-2,-10,23,4
759,5,1,-3.75,15,-195,-24,-141,-6
773,5,0,0.5,-36,23,-14,20,-17
793,5,0,0.5,-34,-13,-52,-5,-48
795,5,0,-1.5,-30,-174,-78,-132,-45
798,5,1,0.0,-5,-58,-17,-90,-80
1,6,1,1.5,35,104,9,128,0
31,6,0,0.0,-10,9,18,30,15
36,6,1,0.0,24,2,-9,25,10
45,6,1,0.5,60,42,38,58,40
48,6,0,0.0,-10,-16,-12,15,-10
50,6,1,1.5,40,96,-12,118,-10
52,6,1,3.75,55,239,3,309,10
55,6,0,1.5,-10,96,-2,115,-10
63,6,0,0.0,-15,-41,-2,20,-5
81,6,0,-3.5,60,-288,-42,-80,35
82,6,0,-3.5,45,-348,-57,-140,20
89,6,1,1.5,35,111,-12,113,10
92,6,1,0.0,5,-21,13,45,30
105,6,1,0.0,38,16,13,37,-25
114,6,1,-1.0,35,-96,-52,-20,-15
136,6,0,0.0,-13,-15,1,-10,-20
188,6,1,0.5,65,52,30,58,10
197,6,1,-0.5,35,-63,-47,-125,-45
211,6,0,-3.5,45,-308,-27,-220,0
228,6,0,-1.5,-5,-158,-17,-70,10
232,6,0,1.5,-5,66,-17,140,-30
261,6,0,0.0,-20,-16,-47,40,-5
282,6,1,-3.5,30,-308,-12,-200,-5
288,6,0,0.0,-20,-6,-3,30,4
289,6,1,1.5,60,106,23,150,35
300,6,0,0.0,-5,9,28,50,35
351,6,1,-1.5,20,-108,23,-100,30
416,6,1,1.5,30,103,-42,110,-135
422,6,0,-1.5,-10,-168,-32,-260,-75
428,6,0,1.5,-20,78,-42,110,-35
431,6,0,0.0,-10,-6,-102,10,-95
449,6,1,0.0,35,-1,24,40,31
482,6,1,0.0,35,34,8,15,15
483,6,1,0.0,6,1,11,39,24
495,6,0,-1.5,-12,-308,-57,-200,-30
525,6,1,1.0,0,-2,-22,90,5
559,6,1,0.0,25,-14,3,5,10
579,6,1,0.0,37,9,8,44,35
583,6,0,0.0,-36,-36,-5,0,2
585,6,0,-1.5,60,-178,-47,-60,25
606,6,0,1.5,-32,78,-31,133,-4
629,6,0,-1.5,-30,-248,-7,-184,0
647,6,1,1.5,5,98,8,140,15
653,6,1,1.5,50,86,-12,118,-15
656,6,1,-1.5,15,-118,-22,-40,20
684,6,1,-1.0,45,-84,8,10,15
691,6,1,0.0,20,9,-17,35,0
726,6,0,-1.5,-17,-94,6,-126,9
749,6,1,1.5,52,88,-42,143,28
769,6,1,0.0,34,5,8,13,2
792,6,0,-0.5,-43,-38,-22,-57,-15
799,6,1,0.0,0,-96,-2,-90,-65
28,7,1,0.0,0,-6,13,48,24
34,7,1,1.0,35,84,-32,109,30
73,7,1,1.5,65,128,28,201,50
75,7,1,1.5,45,103,-2,186,0
77,7,1,3.75,45,314,28,415,40
82,7,1,0.25,65,21,-37,27,40
91,7,1,0.0,40,19,23,51,23
102,7,0,0.0,-10,19,18,-21,10
103,7,0,0.0,-30,19,-2,-61,-10
108,7,1,-1.5,25,-218,-37,-46,35
137,7,1,3.75,15,305,-22,423,15
141,7,1,-1.5,19,-208,-1,-66,-15
158,7,1,-1.5,0,-138,-7,-196,-5
162,7,1,-0.5,20,-92,-17,-46,-15
170,7,1,0.0,35,16,35,24,35
224,7,1,1.0,70,84,-122,109,20
228,7,1,-1.5,15,-148,3,-56,30
231,7,1,0.0,95,74,-152,99,-145
235,7,1,0.0,60,4,28,59,35
247,7,1,0.0,35,12,48,14,35
275,7,0,3.75,-20,315,13,410,0
275,7,0,3.75,-20,315,13,410,0
279,7,1,0.75,20,54,8,82,15
283,7,1,0.5,40,42,-12,54,-5
303,7,1,-1.5,35,-58,-22,-116,15
311,7,1,7.875,30,656,-2,865,25
320,7,1,0.0,32,-7,15,18,12
321,7,1,1.5,75,138,48,208,55
342,7,1,-1.5,5,-38,28,-96,0
358,7,1,0.0,20,39,13,19,-25
361,7,1,0.5,30,42,28,54,35
368,7,1,0.0,10,-31,18,49,25
371,7,1,-3.75,30,-359,-7,-193,20
375,7,1,-1.5,45,-198,-7,-126,30
408,7,1,-0.5,50,-53,-22,-6,35
412,7,1,0.5,50,47,-22,82,5
420,7,0,-0.5,-10,-48,-2,-76,-25
439,7,1,-1.5,60,-60,25,-68,29
439,7,1,-1.5,60,-60,25,-68,29
460,7,1,4.0,64,336,-27,436,0
468,7,1,3.75,65,328,33,421,32
503,7,1,0.0,5,-6,-32,49,10
512,7,1,7.75,70,639,-27,839,-20
519,7,1,0.0,17,-5,11,-8,-10
539,7,1,0.0,20,-21,-27,4,-20
560,7,1,0.75,35,54,13,84,20
562,7,1,-1.5,40,-108,18,-112,25
564,7,1,0.0,58,29,39,74,46
565,7,1,0.0,23,-1,9,49,16
566,7,1,0.0,45,24,33,84,40
575,7,1,-1.5,36,-64,30,-52,37
577,7,1,0.0,76,59,33,42,30
580,7,1,0.0,35,7,16,59,43
600,7,1,1.5,15,106,3,203,10
605,7,1,3.75,53,323,-21,426,6
612,7,1,1.0,35,84,43,109,50
624,7,1,0.0,70,54,-7,54,20
645,7,1,1.0,41,103,13,138,10
646,7,1,1.0,21,73,-7,108,-10
674,7,1,-0.5,3,-105,-12,-6,15
691,7,1,0.0,40,29,3,64,20
693,7,1,0.0,35,-6,12,2,19
697,7,1,-0.5,2,-63,-12,-71,-5
702,7,0,7.875,-8,661,6,861,-44
722,7,1,0.0,40,20,38,23,25
747,7,0,0.0,-4,36,2,26,4
758,7,1,0.0,27,-8,-10,41,10
759,7,1,-7.875,50,-406,11,-299,29
770,7,1,-3.5,42,-266,6,-342,-7
773,7,0,-0.5,-1,-16,21,-27,18
775,7,1,-0.5,60,-8,43,-1,10
777,7,1,-0.5,20,-58,8,-56,-65
784,7,1,3.75,59,320,8,425,30
28,8,1,0.0,0,40,46,69,24
34,8,1,-1.0,35,-70,1,40,30
34,8,1,-1.0,35,-70,1,40,30
53,8,1,3.875,70,509,31,513,5
54,8,1,1.5,55,233,61,240,30
54,8,1,1.5,55,233,61,240,30
62,8,1,0.0,30,50,76,95,40
64,8,1,0.25,40,48,66,48,35
64,8,1,0.25,40,48,66,48,35
64,8,1,0.25,40,48,66,48,35
75,8,1,0.0,45,0,31,65,0
97,8,1,0.0,50,25,36,65,-15
97,8,1,0.0,50,25,36,65,-15
106,8,1,0.0,33,57,41,57,-30
111,8,1,1.75,60,250,31,245,40
116,8,1,0.0,24,25,32,95,-25
131,8,0,-0.5,-15,-10,26,-35,0
134,8,1,1.0,5,210,76,145,-10
142,8,1,-0.5,19,-90,2,-5,-45
143,8,1,0.0,40,45,31,45,-10
147,8,0,0.5,-30,98,51,75,-10
148,8,1,0.25,35,33,51,42,-25
155,8,0,-1.5,-50,-205,26,-75,-10
159,8,1,0.25,10,40,21,34,0
163,8,0,0.0,-30,20,21,-24,-5
174,8,1,-0.5,42,-15,31,6,22
188,8,1,-1.0,85,-25,83,-45,30
222,8,1,0.0,55,60,41,65,20
240,8,1,0.0,50,60,31,140,25
284,8,1,-1.5,30,-235,1,-125,-25
288,8,1,0.0,0,60,50,80,24
297,8,1,1.75,70,250,61,253,55
298,8,1,1.75,40,243,71,245,45
307,8,1,-1.0,0,-85,46,-165,-50
314,8,1,0.0,0,-30,11,35,20
359,8,1,0.0,40,70,51,70,25
369,8,1,0.0,35,30,51,30,25
373,8,1,-1.5,40,-91,38,-87,14
375,8,1,-0.5,45,-55,26,-25,30
380,8,1,0.0,25,35,61,90,35
381,8,1,0.0,55,5,11,60,5
396,8,1,1.0,50,210,61,210,35
406,8,1,-0.5,3,35,56,25,20
407,8,1,-1.0,50,-20,51,50,55
407,8,1,-1.0,50,-20,51,50,55
414,8,0,0.5,-10,58,-39,78,-25
416,8,1,1.0,50,210,11,160,-115
418,8,0,-1.0,-10,-30,21,-90,-45
435,8,1,1.5,44,206,6,223,0
450,8,1,0.5,40,88,62,100,36
477,8,0,0.0,-35,-6,17,76,-11
492,8,1,-3.0,58,-150,66,-30,40
496,8,1,0.0,95,45,71,90,0
506,8,1,1.75,54,235,39,238,13
511,8,1,3.75,40,497,36,497,0
517,8,1,1.75,50,235,-14,233,35
524,8,1,-1.0,5,-60,-14,40,10
561,8,1,-0.5,55,10,66,2,40
585,8,0,-1.5,80,-145,6,-35,45
589,8,1,-1.0,32,-40,71,70,40
609,8,1,1.75,70,252,61,243,35
622,8,1,0.0,42,40,-4,85,-30
624,8,1,0.0,70,100,26,75,20
647,8,1,1.75,25,245,61,250,35
662,8,1,0.5,50,90,16,95,0
682,8,0,0.0,-5,5,51,35,25
688,8,1,0.0,45,20,16,90,-10
734,8,1,1.5,71,249,51,247,55
737,8,0,0.25,-6,48,39,38,19
761,8,1,-0.5,70,5,51,5,25
764,8,1,-0.5,41,-8,23,-55,-4
781,8,1,1.75,49,244,41,249,30
785,8,1,1.75,16,238,-11,246,10
792,8,0,-1.0,-23,-10,31,-64,5
41,9,1,0.5,65,82,30,129,50
58,9,1,0.0,10,59,43,119,75
64,9,1,0.0,40,17,33,44,65
71,9,0,0.0,-20,54,33,24,20
71,9,0,0.0,-20,54,33,24,20
110,9,0,-1.5,-40,-48,8,-81,35
130,9,1,-1.5,15,-38,23,-61,60
143,9,1,-1.0,40,-66,-2,-11,20
164,9,0,1.5,-30,113,-22,241,15
184,9,0,0.0,-30,14,-2,89,35
195,9,1,-1.5,55,-58,23,-81,55
201,9,1,-3.75,70,-374,-37,-81,50
211,9,1,0.5,65,52,-7,79,50
228,9,1,-1.5,15,-138,3,-31,60
235,9,1,0.0,60,24,28,109,65
237,9,1,0.0,80,32,38,44,75
239,9,1,2.0,50,208,38,318,85
239,9,1,2.0,50,208,38,318,85
239,9,1,2.0,50,208,38,318,85
270,9,0,0.0,-10,14,-52,69,-39
271,9,1,0.0,10,-13,-12,24,-39
276,9,0,1.75,-45,181,3,282,30
293,9,1,3.75,35,404,8,624,25
295,9,1,1.5,50,183,28,288,45
307,9,1,0.5,0,62,13,77,-20
311,9,1,7.875,30,816,-2,1265,55
314,9,1,0.0,0,-56,-22,64,50
323,9,1,0.5,80,94,38,149,75
334,9,1,0.5,50,34,-152,129,35
378,9,1,0.0,77,63,1,98,28
379,9,1,0.0,57,23,-19,78,8
386,9,1,0.0,55,29,43,96,82
400,9,1,-1.0,55,-16,8,9,45
402,9,1,-1.5,68,-76,-7,-69,60
414,9,0,0.5,-10,32,-72,107,5
426,9,1,-0.5,5,-98,-12,-71,25
430,9,0,0.0,-50,-76,58,-21,95
452,9,1,3.75,45,409,43,624,45
464,9,1,3.75,60,396,-24,616,13
484,9,1,0.0,16,11,11,88,54
484,9,1,0.0,16,11,11,88,54
486,9,1,0.5,67,60,-38,120,-1
491,9,1,0.0,65,12,-30,67,7
515,9,1,0.0,50,19,-17,79,20
516,9,0,0.25,60,26,-52,39,60
522,9,1,3.75,5,389,-52,621,50
527,9,1,1.5,20,146,13,286,0
533,9,1,-0.75,14,-39,-29,-66,8
535,9,1,-1.0,14,-26,-29,-51,8
541,9,1,0.0,10,-8,-42,4,15
542,9,1,-1.75,0,-214,-22,-261,-5
551,9,1,3.75,0,391,-22,611,15
592,9,1,0.5,50,74,-48,119,-11
595,9,1,1.5,55,138,-17,291,50
609,9,1,3.75,70,408,28,619,65
612,9,1,1.0,35,104,43,159,80
626,9,0,-7.875,78,-611,-25,-405,70
632,9,1,0.0,35,39,38,79,75
640,9,1,0.0,70,64,28,34,55
642,9,1,-1.5,45,-36,28,-9,65
646,9,1,1.0,21,113,-7,208,20
671,9,1,0.0,20,25,-12,7,25
684,9,1,1.0,65,104,28,159,65
698,9,1,1.875,40,198,23,312,60
721,9,1,7.875,36,819,-44,1263,40
743,9,1,1.5,57,167,16,295,67
763,9,1,-1.5,56,-54,16,-37,52
764,9,1,-1.5,41,-94,-10,-161,26
798,9,1,0.0,30,-6,18,9,-15
7,10,0,1.5,-57,54,-13,46,-21
19,10,0,0.0,-32,-42,25,5,-16
24,10,0,0.0,-78,-32,-15,-85,-16
48,10,0,0.0,-47,-32,-5,-15,-11
48,10,0,0.0,-47,-32,-5,-15,-11
68,10,0,0.0,-27,-23,-30,-10,-26
101,10,0,0.0,-52,-2,20,-65,9
108,10,0,0.0,-32,-41,-50,0,14
117,10,1,0.0,13,-7,-10,-10,-11
122,10,0,0.0,-7,43,60,15,-41
125,10,0,0.0,-57,-77,-35,-10,-36
157,10,0,0.5,-42,6,-35,3,-61
181,10,0,0.0,-42,13,15,-5,-46
245,10,0,0.0,-27,4,-5,-15,-76
250,10,0,-0.25,-42,-35,-30,-35,-31
275,10,0,-1.5,-77,-146,0,-185,-21
284,10,0,0.5,-27,-27,-45,3,-46
288,10,0,0.0,-57,-22,4,0,3
291,10,0,0.0,-22,-22,15,-50,14
300,10,0,0.0,-42,-7,35,20,34
308,10,0,0.0,-22,9,33,0,12
323,10,1,0.0,23,28,25,30,24
324,10,1,1.0,13,51,-70,55,-26
325,10,0,0.0,-7,3,20,15,29
341,10,0,-1.0,-52,-52,25,-120,-11
342,10,0,-1.0,-52,-32,15,-100,-21
363,10,1,-1.5,8,-146,25,-145,24
386,10,0,0.0,-2,-27,30,-13,31
396,10,0,0.5,-7,23,15,25,14
397,10,0,0.5,-37,8,-15,10,-16
397,10,0,0.5,-37,8,-15,10,-16
408,10,0,-0.5,-7,-71,-35,-35,14
410,10,0,-0.5,-77,-121,-65,-95,-26
434,10,1,-1.5,7,-154,-20,-85,-1
